epoch;time;train/loss;metrics/accuracy_top1;metrics/accuracy_top5;val/loss;lr/pg0;lr/pg1;lr/pg2
1;17.9586;1.53877;0.64375;1;1.35741;0.000236017;0.000236017;0.000236017
2;35.1053;1.09386;0.68958;1;1.2694;0.000469324;0.000469324;0.000469324
3;52.713;0.90784;0.71458;1;1.21954;0.000697919;0.000697919;0.000697919
4;68.8847;0.91547;0.72708;1;1.19785;0.000692794;0.000692794;0.000692794
5;84.9772;0.85242;0.75417;1;1.18923;0.000685726;0.000685726;0.000685726
6;101.91;0.82935;0.75208;1;1.19311;0.000678657;0.000678657;0.000678657
7;118.451;0.7865;0.75833;1;1.17104;0.000671588;0.000671588;0.000671588
8;134.674;0.75499;0.76875;1;1.15869;0.00066452;0.00066452;0.00066452
9;151.572;0.69856;0.77917;1;1.14381;0.000657451;0.000657451;0.000657451
10;169.107;0.64759;0.77917;1;1.14776;0.000650383;0.000650383;0.000650383
11;185.913;0.67265;0.78542;1;1.13388;0.000643314;0.000643314;0.000643314
12;202.105;0.60939;0.77708;1;1.14078;0.000636245;0.000636245;0.000636245
13;218.29;0.644;0.76458;1;1.15403;0.000629177;0.000629177;0.000629177
14;234.491;0.61684;0.80625;1;1.10975;0.000622108;0.000622108;0.000622108
15;251.899;0.54461;0.81042;1;1.10018;0.00061504;0.00061504;0.00061504
16;268.19;0.60773;0.79792;1;1.1138;0.000607971;0.000607971;0.000607971
17;284.478;0.56536;0.80625;1;1.10093;0.000600902;0.000600902;0.000600902
18;300.602;0.55594;0.8125;1;1.12271;0.000593834;0.000593834;0.000593834
19;317.197;0.5657;0.80417;1;1.10919;0.000586765;0.000586765;0.000586765
20;333.795;0.50324;0.8;1;1.11244;0.000579697;0.000579697;0.000579697
21;350.258;0.52371;0.81042;1;1.10453;0.000572628;0.000572628;0.000572628
22;366.409;0.44123;0.79583;1;1.10808;0.000565559;0.000565559;0.000565559
23;382.929;0.44915;0.81458;1;1.0896;0.000558491;0.000558491;0.000558491
24;399.876;0.4948;0.81667;1;1.09115;0.000551422;0.000551422;0.000551422
25;415.963;0.44325;0.82292;1;1.09086;0.000544354;0.000544354;0.000544354
26;432.196;0.4444;0.8125;1;1.10174;0.000537285;0.000537285;0.000537285
27;449.438;0.44851;0.825;1;1.08593;0.000530216;0.000530216;0.000530216
28;465.668;0.41344;0.83125;1;1.07414;0.000523148;0.000523148;0.000523148
29;481.888;0.42261;0.83333;1;1.08843;0.000516079;0.000516079;0.000516079
30;498.165;0.41821;0.83542;1;1.08572;0.000509011;0.000509011;0.000509011
31;514.588;0.44941;0.82083;1;1.09173;0.000501942;0.000501942;0.000501942
32;530.963;0.3904;0.84167;1;1.07212;0.000494873;0.000494873;0.000494873
33;547.216;0.38361;0.81875;1;1.09533;0.000487805;0.000487805;0.000487805
34;563.367;0.37908;0.82292;1;1.07961;0.000480736;0.000480736;0.000480736
35;580.479;0.35357;0.84375;1;1.06984;0.000473668;0.000473668;0.000473668
36;596.583;0.35146;0.8375;1;1.07409;0.000466599;0.000466599;0.000466599
37;612.748;0.36393;0.85;1;1.07404;0.00045953;0.00045953;0.00045953
38;628.845;0.3622;0.83125;1;1.07623;0.000452462;0.000452462;0.000452462
39;645.982;0.35695;0.84375;1;1.074;0.000445393;0.000445393;0.000445393
40;662.322;0.33278;0.85208;1;1.0669;0.000438325;0.000438325;0.000438325
41;678.4;0.31925;0.8375;1;1.07761;0.000431256;0.000431256;0.000431256
42;695.14;0.34468;0.83125;1;1.07146;0.000424187;0.000424187;0.000424187
43;711.861;0.2926;0.81875;1;1.08629;0.000417119;0.000417119;0.000417119
44;728.18;0.32214;0.83958;1;1.07746;0.00041005;0.00041005;0.00041005
45;744.238;0.32401;0.83125;1;1.07445;0.000402982;0.000402982;0.000402982
46;761.241;0.30464;0.83125;1;1.07588;0.000395913;0.000395913;0.000395913
47;777.59;0.31145;0.84583;1;1.07633;0.000388844;0.000388844;0.000388844
48;794.049;0.28631;0.83542;1;1.07049;0.000381776;0.000381776;0.000381776
49;810.469;0.32988;0.83125;1;1.06948;0.000374707;0.000374707;0.000374707
50;826.717;0.28028;0.84167;1;1.06485;0.000367639;0.000367639;0.000367639
51;843.247;0.25166;0.85208;1;1.06275;0.00036057;0.00036057;0.00036057
52;859.343;0.29314;0.85417;1;1.05793;0.000353501;0.000353501;0.000353501
53;876.269;0.26575;0.86458;1;1.05174;0.000346433;0.000346433;0.000346433
54;892.738;0.27866;0.85625;1;1.06218;0.000339364;0.000339364;0.000339364
55;909.525;0.24978;0.83958;1;1.06685;0.000332296;0.000332296;0.000332296
56;925.962;0.24623;0.84375;1;1.06311;0.000325227;0.000325227;0.000325227
57;943.187;0.25366;0.82917;1;1.07422;0.000318158;0.000318158;0.000318158
58;959.466;0.25583;0.84583;1;1.05723;0.00031109;0.00031109;0.00031109
59;976.323;0.23901;0.84583;1;1.06305;0.000304021;0.000304021;0.000304021
60;993.068;0.25856;0.85625;1;1.04926;0.000296953;0.000296953;0.000296953
61;1009.73;0.21959;0.84375;1;1.06273;0.000289884;0.000289884;0.000289884
62;1025.9;0.23123;0.85;1;1.05313;0.000282815;0.000282815;0.000282815
63;1042.82;0.25553;0.85208;1;1.05907;0.000275747;0.000275747;0.000275747
64;1059.43;0.21707;0.85417;1;1.0549;0.000268678;0.000268678;0.000268678
65;1075.57;0.24487;0.83542;1;1.06623;0.00026161;0.00026161;0.00026161
66;1091.67;0.19958;0.83333;1;1.07119;0.000254541;0.000254541;0.000254541
67;1108.15;0.22406;0.825;1;1.07411;0.000247472;0.000247472;0.000247472
68;1124.5;0.21421;0.84167;1;1.06612;0.000240404;0.000240404;0.000240404
69;1140.68;0.20836;0.84375;1;1.06443;0.000233335;0.000233335;0.000233335
70;1156.82;0.1819;0.82708;1;1.07521;0.000226267;0.000226267;0.000226267
71;1173.78;0.20103;0.8375;1;1.06504;0.000219198;0.000219198;0.000219198
72;1190.37;0.19299;0.86458;1;1.04846;0.000212129;0.000212129;0.000212129
73;1206.5;0.20096;0.83542;1;1.06236;0.000205061;0.000205061;0.000205061
74;1222.6;0.18029;0.86458;1;1.05087;0.000197992;0.000197992;0.000197992
75;1239.83;0.19159;0.85208;1;1.05026;0.000190924;0.000190924;0.000190924
76;1256.15;0.16329;0.85625;1;1.05258;0.000183855;0.000183855;0.000183855
77;1272.53;0.17007;0.86042;1;1.04684;0.000176786;0.000176786;0.000176786
78;1288.65;0.16754;0.85833;1;1.05093;0.000169718;0.000169718;0.000169718
79;1305.9;0.16578;0.86042;1;1.05081;0.000162649;0.000162649;0.000162649
80;1322.05;0.1772;0.85625;1;1.05308;0.000155581;0.000155581;0.000155581
81;1338.13;0.14238;0.84792;1;1.05993;0.000148512;0.000148512;0.000148512
82;1355.1;0.14753;0.84375;1;1.0586;0.000141443;0.000141443;0.000141443
83;1371.9;0.16374;0.85208;1;1.05429;0.000134375;0.000134375;0.000134375
84;1388.42;0.13726;0.85;1;1.05911;0.000127306;0.000127306;0.000127306
85;1405.87;0.15163;0.86042;1;1.05388;0.000120238;0.000120238;0.000120238
86;1422.07;0.14498;0.85625;1;1.05085;0.000113169;0.000113169;0.000113169
87;1438.39;0.16198;0.85833;1;1.0475;0.0001061;0.0001061;0.0001061
88;1454.38;0.14973;0.86667;1;1.0435;9.90318e-05;9.90318e-05;9.90318e-05
89;1470.42;0.14277;0.85833;1;1.04772;9.19632e-05;9.19632e-05;9.19632e-05
90;1487.27;0.16722;0.85625;1;1.04972;8.48946e-05;8.48946e-05;8.48946e-05
91;1503.62;0.14243;0.86667;1;1.04398;7.7826e-05;7.7826e-05;7.7826e-05
92;1519.67;0.13504;0.85833;1;1.04423;7.07574e-05;7.07574e-05;7.07574e-05
93;1536.55;0.12483;0.86667;1;1.04475;6.36888e-05;6.36888e-05;6.36888e-05
94;1552.65;0.13477;0.86458;1;1.04772;5.66202e-05;5.66202e-05;5.66202e-05
95;1569.11;0.12392;0.85625;1;1.05005;4.95516e-05;4.95516e-05;4.95516e-05
96;1585.18;0.13553;0.85833;1;1.04825;4.2483e-05;4.2483e-05;4.2483e-05
97;1602.13;0.12934;0.85625;1;1.04889;3.54144e-05;3.54144e-05;3.54144e-05
98;1618.26;0.1359;0.85208;1;1.05118;2.83458e-05;2.83458e-05;2.83458e-05
99;1634.71;0.14329;0.86667;1;1.04622;2.12772e-05;2.12772e-05;2.12772e-05
100;1651.59;0.11672;0.85208;1;1.04869;1.42086e-05;1.42086e-05;1.42086e-05
